课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,1,2526121000116001,产业组织理论01班,21000116,产业组织理论,2,生态环境学院,个性化选修,严冬,"2022明德环境“经济学-科学”拔尖人才实验班1班,2022资源与环境经济学1班",60,6,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 教二2102; 2: 3周, 单双周,星期日, 7-8节, 教二2102;",
,2,2526121000159001,西方马克思主义经济学01班,21000159,西方马克思主义经济学,2,经济学院,个性化选修,陈伟凯,"2022经济学类[1-4]班,2022经济学（中国特色经济学方向）拔尖班,2023经济学（中国特色经济学方向）拔尖班",40,10,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 立德508; 2: 3周, 单双周,星期日, 7-8节, 立德508;",
,3,2526121000184001,档案文献编纂学01班,21000184,档案文献编纂学,3,信息资源管理学院,专业核心课,梁继红,"2023数字社会与数据治理实验班1班,2023级信息资源管理大类班,2023级新路引航班,2023“社会学+信息资源管理”双学士学位班",25,5,"1: 1-16周, 单双周,星期一, 1-3节, 教二2112;",
,4,2526121000199001,德语国家历史01班,21000199,德语国家历史,2,外国语学院,个性化选修,STEFFENSMARCELMAURICEMANUEL,"2023涉外法治实验班1班,2023德语1班,2023涉外法治双学士学位项目班",20,0,"1: 1-16周, 单双周,星期四, 3-4节, 立德309;",
,5,2526121000217001,地籍管理01班,21000217,地籍管理,3,公共管理学院,专业核心课,"张书海,张秀智","2023统计-公共管理实验班1班,2023土地资源管理1班,2023统计-公共管理实验班",37,5,"1: 1-4,6-16周, 单双周,星期二, 11-13节, 教三3309; 2: 3周, 单双周,星期日, 11-13节, 教三3309;",
,6,2526121000232001,调查技术与方法01班,21000232,调查技术与方法,2,统计学院,个性化选修,胡以松,"*|2024|*|可选,*|2023|*|可选,*|2022|*|可选",40,0,"1: 1-16周, 单双周,星期一, 11-12节, 教二2119;",
,7,2526121000269001,法国概况01班,21000269,法国概况,2,外国语学院,专业核心课,GATTANO MARC,"2024全球治理与国际事务实验班1班,外院2024涉外法治双学士学位复合型人才培养项目1班,2024法语1班,2024涉外法治双学士学位复合型人才培养项目1班",20,0,"1: 1-16周, 单双周,星期四, 11-12节, 明国0205;",
,8,2526121000340002,概率论02班,21000340,概率论,4,统计学院,专业核心课,范新妍,"2024统计学（统计与数据科学）拔尖班1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024“应用经济-数据科学”双学士学位复合型人才培养项目1班,2024经济统计学[......",104,7,"1: 1-16周, 单双周,星期一, 3-4节, 求是0224; 2: 1-16周, 单双周,星期五, 7-8节, 求是0224;",
,9,2526121000340003,概率论01班,21000340,概率论,4,统计学院,专业核心课,尹建鑫,"2024统计学（统计与数据科学）拔尖班1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024“应用经济-数据科学”双学士学位复合型人才培养项目1班,2024经济统计学[......",104,7,"1: 1-16周, 单双周,星期一, 1-2节, 求是0120; 2: 1-16周, 单双周,星期五, 7-8节, 求是0120;",
,10,2526121000342001,概率论与数理统计01班,21000342,概率论与数理统计,4,数学学院,专业核心课,刘青阳,"2024明德环境“经济学-科学”实验班1班,2024理科试验班1班",60,5,"1: 1-16周, 单双周,星期一, 1-2节, 教一1204; 2: 1-4,6-16周, 单双周,星期三, 1-2节, 教一1204; 3: 5周, 单双周,星期六, 1-2节, 教一1204;",
